,_,p,n,b,r,q
P,0.12258248776197433,0.040070995688438416,0.036011647433042526,0.054883550852537155,0.035274773836135864,0.06883029639720917
N,0.04760470613837242,0.052059948444366455,0.07366239279508591,0.014598957262933254,0.0981646403670311,0.0546431802213192
B,0.06268268078565598,0.10125627368688583,0.03307020664215088,0.09910906851291656,0.05671992525458336,0.017838232219219208
R,0.07096672058105469,0.07993002235889435,0.029841845855116844,0.04991760477423668,0.05849628522992134,0.06005942448973656
Q,0.08770928531885147,0.02487688884139061,0.05560268089175224,0.045247431844472885,0.059587329626083374,0.09603773802518845
K,0.03354928642511368,0.03056166134774685,0.04749715328216553,0.04292431101202965,0.016602806746959686,0.07119645923376083
